date,510300.SH,563360.SH,512890.SH,510880.SH,511010.SH,511260.SH,518880.SH,511880.SH
2010-04-19,3176.423,3319.5878,4906.906,2455.403,107.901,95.827,,
2010-04-20,3173.374,3331.5058,4990.249,2451.918,108.026,96.076,,
2010-04-21,3236.679,3404.4436,5134.9,2492.419,108.113,96.105,,
2010-04-22,3201.541,3375.4362,5126.154,2450.449,108.117,96.102,,
2010-04-23,3190.003,3356.5997,5091.833,2434.345,108.23,96.258,,
2010-04-26,3171.997,3344.2577,5075.096,2416.768,108.382,96.394,,
2010-04-27,3108.409,3273.2334,4953.704,2372.176,108.485,96.454,,
2010-04-28,3097.353,3255.8176,4951.438,2371.284,108.549,96.693,,
2010-04-29,3060.064,3206.0478,4855.561,2351.212,108.56,96.711,,
2010-04-30,3067.365,3194.5321,4757.908,2362.998,108.539,96.706,,
2010-05-03,,,,,,,,
2010-05-04,3019.449,3155.8619,4758.298,2334.995,108.411,96.582,,
2010-05-05,3036.394,3186.5627,4857.248,2349.882,108.386,96.597,,
2010-05-06,2896.856,3051.1693,4710.407,2240.776,108.462,96.649,,
2010-05-07,2836.789,2994.8768,4581.97,2192.236,108.611,97.006,,
2010-05-10,2858.233,2999.832,4514.406,2208.932,108.72,97.014,,
2010-05-11,2800.817,2935.92,4413.334,2177.007,108.587,96.921,,
2010-05-12,2818.16,2939.7699,4354.316,2206.513,108.642,97.012,,
2010-05-13,2886.911,3013.3328,4472.594,2250.128,108.75,97.083,,
2010-05-14,2868.023,3001.5128,4522.864,2236.85,108.862,97.129,,
2010-05-17,2714.715,2839.3517,4280.749,2136.331,109.014,97.278,,
2010-05-18,2771.348,2890.3512,4319.709,2170.786,109.235,97.518,,
2010-05-19,2762.174,2884.3968,4312.177,2159.668,109.477,97.671,,
2010-05-20,2726.022,2844.4357,4229.769,2137.924,109.471,97.741,,
2010-05-21,2768.791,2887.949,4291.556,2161.051,109.422,97.652,,
2010-05-24,2873.469,2998.056,4463.576,2231.368,109.326,97.468,,
2010-05-25,2813.943,2944.5845,4417.183,2177.647,109.386,97.384,,
2010-05-26,2813.944,2947.0461,4397.172,2175.041,109.472,97.452,,
2010-05-27,2859.979,2994.3868,4466.794,2206.094,109.443,97.399,,
2010-05-28,2850.302,2990.3746,4515.991,2199.497,109.43,97.383,,
2010-05-31,2773.264,2911.0365,4417.523,2143.008,109.376,97.279,,
2010-06-01,2744.162,2876.4912,4282.98,2118.073,109.355,97.252,,
2010-06-02,2757.527,2894.01,4311.978,2121.924,109.311,97.188,,
2010-06-03,2736.076,2875.5924,4294.567,2111.266,109.326,97.228,,
2010-06-04,2744.391,2886.9437,4327.812,2106.287,109.372,97.277,,
